1|marko|100|22/06/2016|28/06/2016|1,|900
2|marko|101|25/06/2016|28/06/2016|3,3,|1800
3|marko|103|28/06/2016|28/06/2016|1,|150
4|marko|101|28/06/2016|05/07/2016|3,|2100
5|perap|103|28/06/2016|29/06/2016|1,|150
6|perap|100|28/06/2016|01/07/2016|2,3,3,|2100
7|jjovic|103|29/06/2016|05/07/2016|2,3,|2401
8|marko|105|01/07/2016|01/07/2016|1,|150
9|admin|100|01/07/2016|05/07/2016|2,|400
10|marko|106|03/07/2016|05/07/2016|4,|600
11|perap|100|05/07/2016||2,|200
12|admin|101|07/07/2016||4,|300
13|test|106|10/08/2017||2,|200
